city,country,continent,climate_zone,month,season,avg_temp,avg_max_temp,avg_min_temp,avg_humidity,avg_precip,total_precip,avg_wind,avg_comfort,extreme_events
Amsterdam,Netherlands,Europe,Oceanic,1,Winter,4.07,19.6,-11.6,51.57,0.07,14.37,9.87,39.8,3
Amsterdam,Netherlands,Europe,Oceanic,2,Winter,8.65,22.2,-7.8,50.75,0.05,9.35,9.98,54.04,3
Amsterdam,Netherlands,Europe,Oceanic,3,Spring,14.73,29.0,-1.2,49.93,0.04,7.7,9.9,70.95,2
Amsterdam,Netherlands,Europe,Oceanic,4,Spring,20.91,34.4,6.6,49.38,0.03,6.54,9.76,79.33,3
Amsterdam,Netherlands,Europe,Oceanic,5,Spring,25.41,39.1,11.1,50.18,0.04,9.34,10.19,74.46,2
Amsterdam,Netherlands,Europe,Oceanic,6,Summer,27.3,41.0,12.1,50.49,0.04,8.92,10.74,70.7,4
Amsterdam,Netherlands,Europe,Oceanic,7,Summer,25.35,40.8,5.7,49.81,0.03,6.21,10.45,73.88,2
Amsterdam,Netherlands,Europe,Oceanic,8,Summer,21.52,33.7,8.6,49.38,0.03,7.24,10.96,79.33,4
Amsterdam,Netherlands,Europe,Oceanic,9,Autumn,15.06,31.3,-3.2,51.33,0.04,8.89,9.5,71.37,5
Amsterdam,Netherlands,Europe,Oceanic,10,Autumn,8.76,21.4,-5.1,51.28,0.04,8.48,10.5,53.82,2
Amsterdam,Netherlands,Europe,Oceanic,11,Autumn,4.76,17.7,-10.2,50.41,0.04,8.2,10.08,42.54,2
Amsterdam,Netherlands,Europe,Oceanic,12,Winter,3.16,16.3,-10.0,48.4,0.04,7.82,10.35,38.1,2
Anchorage,USA,North America,Subarctic,1,Winter,4.59,18.2,-12.5,49.9,0.05,10.91,9.58,42.33,4
Anchorage,USA,North America,Subarctic,2,Winter,8.63,20.2,-1.3,48.92,0.04,8.02,10.04,54.02,1
Anchorage,USA,North America,Subarctic,3,Spring,14.64,27.9,3.3,48.11,0.04,8.21,10.52,70.97,2
Anchorage,USA,North America,Subarctic,4,Spring,21.02,34.1,5.0,49.39,0.05,9.06,10.55,78.22,3
Anchorage,USA,North America,Subarctic,5,Spring,25.0,38.9,9.6,49.45,0.05,11.35,10.03,74.88,2
Anchorage,USA,North America,Subarctic,6,Summer,26.45,37.1,12.7,49.78,0.03,6.67,10.58,72.94,2
Anchorage,USA,North America,Subarctic,7,Summer,25.18,38.6,11.1,48.09,0.04,9.14,10.48,75.84,4
Anchorage,USA,North America,Subarctic,8,Summer,20.98,33.1,5.8,49.89,0.05,9.91,9.81,79.7,2
Anchorage,USA,North America,Subarctic,9,Autumn,14.92,29.6,2.3,50.01,0.03,6.47,10.95,70.47,2
Anchorage,USA,North America,Subarctic,10,Autumn,8.55,19.2,-3.0,50.12,0.05,9.49,10.96,53.29,0
Anchorage,USA,North America,Subarctic,11,Autumn,5.1,16.6,-10.3,50.59,0.04,8.29,10.22,43.24,1
Anchorage,USA,North America,Subarctic,12,Winter,3.23,19.1,-12.4,49.25,0.05,11.43,10.38,37.57,5
Athens,Greece,Europe,Mediterranean,1,Winter,4.85,20.0,-11.5,48.67,0.04,9.74,10.1,42.66,4
Athens,Greece,Europe,Mediterranean,2,Winter,9.0,20.0,-8.0,50.28,0.04,7.56,10.28,54.8,2
Athens,Greece,Europe,Mediterranean,3,Spring,15.51,29.2,2.2,50.14,0.03,6.09,9.66,72.84,3
Athens,Greece,Europe,Mediterranean,4,Spring,20.97,35.2,8.4,49.34,0.04,8.54,10.4,78.43,1
Athens,Greece,Europe,Mediterranean,5,Spring,24.89,37.4,7.3,49.61,0.04,9.22,10.79,75.21,3
Athens,Greece,Europe,Mediterranean,6,Summer,26.87,43.7,8.5,49.47,0.02,3.82,10.25,71.88,3
Athens,Greece,Europe,Mediterranean,7,Summer,25.5,40.6,14.3,52.6,0.03,7.07,10.82,73.95,1
Athens,Greece,Europe,Mediterranean,8,Summer,20.52,32.2,8.0,50.05,0.05,9.45,10.41,77.94,0
Athens,Greece,Europe,Mediterranean,9,Autumn,14.93,26.0,2.3,49.99,0.03,6.86,10.12,71.1,0
Athens,Greece,Europe,Mediterranean,10,Autumn,8.96,21.3,-4.5,51.66,0.04,7.45,10.06,54.02,1
Athens,Greece,Europe,Mediterranean,11,Autumn,4.7,19.7,-9.9,50.31,0.05,10.11,10.95,41.56,4
Athens,Greece,Europe,Mediterranean,12,Winter,3.14,15.7,-10.0,51.83,0.04,7.42,10.85,36.73,1
Auckland,New Zealand,Oceania,Oceanic,1,Summer,3.99,16.6,-9.2,48.52,0.06,13.11,9.67,40.38,1
Auckland,New Zealand,Oceania,Oceanic,2,Summer,9.38,22.5,-2.1,48.83,0.04,8.49,10.01,56.69,2
Auckland,New Zealand,Oceania,Oceanic,3,Autumn,15.08,27.0,-0.2,50.67,0.05,10.23,10.28,71.6,2
Auckland,New Zealand,Oceania,Oceanic,4,Autumn,20.7,34.3,7.0,50.08,0.03,6.13,9.52,78.97,2
Auckland,New Zealand,Oceania,Oceanic,5,Autumn,25.75,38.3,10.2,50.17,0.02,4.71,9.96,73.1,3
