record_id,date_id,city,country,continent,climate_zone,latitude,longitude,datetime,temperature_2m,temp_fahrenheit,apparent_temperature,feels_like_f,heat_index_c,wind_chill_c,dew_point_2m,relative_humidity_2m,precipitation,rain,snowfall,snow_depth,pressure_msl,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,et0_fao_evapotranspiration,weather_code,weather_description,weather_category,temp_category,wind_category,precip_intensity,humidity_comfort,radiation_level,time_of_day,comfort_index,temp_anomaly_c,temp_anomaly_std,is_extreme_heat,is_extreme_cold,is_heavy_rain,is_heavy_snow,is_high_wind,is_extreme_event,season,is_weekend,hour,year,month,quarter
W00987232,20270810,Rome,Italy,Europe,Mediterranean,41.9,12.5,2027-08-10 15:00:00,26.4,79.5,26.4,79.5,26.4,26.4,19.1,63,0.15,0.15,0.0,0.0,1025.3,100,12.5,99,22.9,756.4,1.51,0,Clear Sky,Clear,Warm,Moderate,Light,Humid,High,Afternoon,71.1,5.23,1.01,0,0,0,0,0,0,Summer,0,15,2027,8,3
W00079955,20240214,New York,USA,North America,Humid Continental,40.71,-74.01,2024-02-14 10:00:00,-2.3,27.9,-8.6,16.5,-2.3,-8.3,-9.8,56,0.0,0.0,0.0,0.12,1016.8,0,13.1,290,21.0,258.0,0.08,0,Clear Sky,Clear,Freezing,Moderate,,Humid,Moderate,Morning,20.5,-3.7,-0.58,0,0,0,0,0,0,Winter,0,10,2024,2,1
W00567131,20190909,London,UK,Europe,Oceanic,51.51,-0.13,2019-09-09 10:00:00,12.9,55.2,11.4,52.5,12.9,12.9,11.6,91,0.8,0.8,0.0,0.0,1013.1,100,8.8,199,14.3,75.0,0.05,53,Moderate Drizzle,Drizzle,Cool,Breeze,Light,Very Humid,Low,Morning,50.8,-2.59,-0.64,0,0,0,0,0,0,Autumn,0,10,2019,9,3
W00500892,20220218,Mexico City,Mexico,North America,Subtropical Highland,19.43,-99.13,2022-02-18 11:00:00,19.0,66.2,17.6,63.7,19.0,19.0,5.1,40,0.0,0.0,0.0,0.0,1020.3,0,6.2,330,14.5,751.0,0.48,0,Clear Sky,Clear,Cool,Breeze,,Comfortable,High,Morning,90.9,3.34,0.55,0,0,0,0,0,0,Winter,0,11,2022,2,1
W00055400,20210427,New York,USA,North America,Humid Continental,40.71,-74.01,2021-04-27 07:00:00,6.3,43.3,3.2,37.8,6.3,5.6,-1.6,57,0.0,0.0,0.0,0.0,1021.1,70,3.1,4,6.3,26.0,0.03,2,Partly Cloudy,Cloudy,Cold,Calm,,Humid,Low,Morning,50.9,-4.44,-0.81,0,0,0,0,0,0,Spring,0,7,2021,4,2
W00135050,20200528,Chicago,USA,North America,Humid Continental,41.88,-87.63,2020-05-28 01:00:00,20.4,68.7,21.8,71.2,20.4,20.4,19.1,93,0.0,0.0,0.0,0.0,1012.8,99,8.6,190,13.9,0.0,0.0,3,Overcast,Cloudy,Warm,Breeze,,Very Humid,Night,Night,72.4,5.76,0.93,0,0,0,0,0,0,Spring,0,1,2020,5,2
W00733379,20180826,Berlin,Germany,Europe,Oceanic,52.52,13.4,2018-08-26 10:00:00,15.4,59.7,12.7,54.9,15.4,15.4,8.2,62,0.0,0.0,0.0,0.0,1015.1,0,9.4,270,19.7,437.0,0.23,0,Clear Sky,Clear,Cool,Breeze,,Humid,Moderate,Morning,72.5,-5.24,-1.08,0,0,0,0,0,0,Summer,1,10,2018,8,3
W00732058,20180702,Berlin,Germany,Europe,Oceanic,52.52,13.4,2018-07-02 09:00:00,16.7,62.1,14.5,58.1,16.7,16.7,6.2,50,0.0,0.0,0.0,0.0,1019.6,0,5.5,69,14.1,452.0,0.26,0,Clear Sky,Clear,Cool,Breeze,,Comfortable,Moderate,Morning,84.4,-3.46,-0.75,0,0,0,0,0,0,Summer,0,9,2018,7,3
W00051334,20201108,New York,USA,North America,Humid Continental,40.71,-74.01,2020-11-08 21:00:00,11.6,52.9,10.1,50.2,11.6,11.6,9.2,85,0.0,0.0,0.0,0.0,1028.0,0,5.8,254,7.4,0.0,0.0,0,Clear Sky,Clear,Cool,Breeze,,Very Humid,Night,Evening,51.4,3.7,0.7,0,0,0,0,0,0,Autumn,1,21,2020,11,4
W00731480,20180608,Berlin,Germany,Europe,Oceanic,52.52,13.4,2018-06-08 07:00:00,17.1,62.8,15.5,59.9,17.1,17.1,8.6,57,0.0,0.0,0.0,0.0,1014.6,0,5.6,97,11.0,156.0,0.11,0,Clear Sky,Clear,Cool,Breeze,,Humid,Low,Morning,82.0,-2.47,-0.49,0,0,0,0,0,0,Summer,0,7,2018,6,2
